SKU ID,Category,Brand,Product Name,Size,Unnamed: 5,Variants,Distribution Area,Distributor Price (Ctn),Distributor Price (Pcs),Consumer Price (Ctn),Consumer Price (Pcs),Pcs per Ctn,MOQ,Product Picture
FMCG014,Minuman,7Cosia,KidsFun Squeeze Jelly,75 gr,7Cosia KidsFun Squeeze Jelly - 75 gr,Yoghurt,Jawa Barat,"75,000","1,250","120,000","2,000",60,"1,200",https://drive.google.com/file/d/1M9YWHKb1a_qSDcjTf57z8JY4VpMub9Oh/view?usp=drive_link
FMCG014,Minuman,7Cosia,KidsFun Squeeze Jelly,75 gr,7Cosia KidsFun Squeeze Jelly - 75 gr,Grape Yoghurt,Jawa Barat,"75,000","1,250","120,000","2,000",60,"1,200",https://drive.google.com/file/d/1M9YWHKb1a_qSDcjTf57z8JY4VpMub9Oh/view?usp=drive_link
FMCG014,Minuman,7Cosia,TrueLove POP Squeeze Jelly,75 gr,7Cosia TrueLove POP Squeeze Jelly - 75 gr,Mix Fruit,Jawa Barat,"75,000","1,250","120,000","2,000",60,"1,200",https://drive.google.com/file/d/1AjIxcjYU301H4hAhTC0KymVwCanmTIEu/view?usp=drive_link
FMCG014,Minuman,7Cosia,TrueLove POP Squeeze Jelly,75 gr,7Cosia TrueLove POP Squeeze Jelly - 75 gr,Peach,Jawa Barat,"75,000","1,250","120,000","2,000",60,"1,200",https://drive.google.com/file/d/1AjIxcjYU301H4hAhTC0KymVwCanmTIEu/view?usp=drive_link
FMCG014,Snack,7Cosia,82mL Lollipop Ice (Assorted Flavor),82 ml,7Cosia 82mL Lollipop Ice (Assorted Flavor) - 82 ml,Yoghurt,Jawa Barat,"50,000",625,"80,000","1,000",80,"1,200",https://drive.google.com/file/d/1InWt2ukkCt9LiPivPcbjdrwvAlIWjJ04/view?usp=drive_link
FMCG014,Snack,7Cosia,6kg Mini Puri Puri Jelly,6 kg,7Cosia 6kg Mini Puri Puri Jelly - 6 kg,Assorted Fruit,Jawa Barat,"78,800","19,700","126,000","31,500",4,"1,200",https://drive.google.com/file/d/1d9KtIxdp46xJZhPou_yhr51hBelCAjTa/view?usp=drive_link
FMCG014,Snack,7Cosia,6kg Mini Zuzu Zuzu Panna Cotta,6 kg,7Cosia 6kg Mini Zuzu Zuzu Panna Cotta - 6 kg,Assorted Fruit,Jawa Barat,"78,800","19,700","126,000","31,500",4,"1,200",https://drive.google.com/file/d/1NRx5R2iKKGn8TZh28LXDRjOwpMsjWlFf/view?usp=drive_link
FMCG014,Snack,7Cosia,50ml Ice Pop X10,50 ml,7Cosia 50ml Ice Pop X10 - 50 ml,Assorted Fruit,Jawa Barat,"46,875","3,125","75,000","5,000",15,"1,200",https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG014,Snack,7Cosia,50ml Ice Pop X10,50 ml,7Cosia 50ml Ice Pop X10 - 50 ml,Yogurt Flavor,Jawa Barat,"46,875","3,125","75,000","5,000",15,"1,200",https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Golden Ball,5 gr,Tobelo Tobelo Golden Ball - 5 gr,,Jabodetabek,"86,277",359,"120,000",500,240,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Long Stick Jar,5 gr,Tobelo Tobelo Long Stick Jar - 5 gr,,Jabodetabek,"94,542",315,"150,000",500,300,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Pop Kress Mix,5 gr,Tobelo Tobelo Pop Kress Mix - 5 gr,,Jabodetabek,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco toss,5 gr,Tobelo Tobelo Choco toss - 5 gr,,Jabodetabek,"77,760",324,"120,000",500,240,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Moonlight ( Bag ),10 gr,Tobelo Tobelo Moonlight ( Bag ) - 10 gr,,Jabodetabek,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
